56/80,None
56/81,Leather Bandana
56/82,Sallet
56/83,Shinobi Hachigane
56/84,Iron Mask
56/85,Lizard Helm
56/86,Raptor Helm
56/87,Zunari Kabuto
56/88,Royal Squire's Helm
56/89,Royal Knight's Bascinet
56/90,Padded Cap
56/91,Bronze Cap
56/92,Bone Mask
56/93,Hachimaki
56/94,Wool Hat
56/95,Tactician Magician's Hat
56/96,Circlet
56/97,Headgear
56/98,Darksteel Armet
56/99,Red Cap
56/100,Green Beret
56/101,Iron Musketeer's Armet
56/102,Centurion's Visor
56/103,Gavial Mask
56/104,Faceguard
56/105,Mythril Sallet
56/106,Blue Ribbon
56/107,Purple Ribbon
56/108,Green Ribbon
56/109,Black Ribbon
56/110,Scarlet Ribbon
94/83,Fighter's Mask (WAR Artifact)
94/84,Temple Crown (MNK Artifact)
94/85,Healer's Cap (WHM Artifact)
94/86,Wizard's Petasos (BLM Artifact)
94/87,Warlock's Chapeau (RDM Artifact)
94/88,Rogue's Bonnet (THF Artifact)
96/109,Gallant Coronet (PLD Artifact)
96/110,Chaos Burgeonet (DRK Artifact)
96/111,Beast Helm (BST Artifact)
96/112,Choral Roundlet (BRD Artifact)
96/113,Hunter's Beret (RNG Artifact)
99/89,Myochin Kabuto (SAM Artifact)
99/90,Ninja Hatsuburi (NIN Artifact)
99/91,Drachen Armet (DRG Artifact)
99/92,Evoker's Horn (SMN Artifact)
164/4,Magus Keffiyeh (BLU Artifact)
164/5,Corsair's Tricorne (COR Artifact)
162/81,Pup. Taj (PUP Artifact)
198/95,Dancer's Tiara (DNC Artifact)
198/96,Scholar's Mortarboard (SCH Artifact)
121/108,Coeurl Mask
121/109,Adaman Barbuta
121/110,Coral Cap
121/111,Noble's Crown
121/112,Celata
121/113,Arhat's Jinpachi
121/114,Dragon Mask
125/11,Rasetsu Jinpachi
125/12,Crimson Mask
125/13,Adaman Celata
125/14,Ogre Mask
125/15,Koenig Schaller
125/66,War Beret
127/86,Pumpkin Head
127/87,Roshi Jinpachi
127/88,Genbu's Kabuto
127/89,Hecatomb Cap
127/90,Errant Hat
130/23,Tiger Mask
130/24,Wyvern Helm
130/25,Demon Helm
130/26,Shura Zunari Kabuto
130/27,Zenith Crown
130/28,Carapace Helm
130/29,Dusk Mask
130/30,Dragon Cap
135/18,Warrior's Mask (WAR Relic)
135/19,Melee Crown (MNK Relic)
135/20,Cleric's Cap (WHM Relic)
135/21,Sorcerer's Petasos (BLM Relic)
135/22,Duelist's Chapeau (RDM Relic)
135/23,Assassin's Bonnet (THF Relic)
135/24,Valor Coronet (PLD Relic)
135/25,Abyss Burgeonet (DRK Relic)
135/26,Monster Helm (BST Relic)
135/27,Bard's Roundlet (BRD Relic)
135/28,Scout's Beret (RNG Relic)
135/29,Saotome Kabuto (SAM Relic)
135/30,Koga Hatsuburi (NIN Relic)
135/31,Wyrm Armet (DRG Relic)
135/32,Summoner's Horn (SMN Relic)
214/122,Mirage Keffiyeh (BLU Relic)
214/123,Commodore Tricorne (COR Relic)
214/124,Pantin Taj (PUP Relic)
218/17,Etoile Tiara (DNC Relic)
217/103,Argute Mortarboard (SCH Relic)
135/33,Scorpion Helm
135/34,Austere Hat
138/117,Panther Mask
138/118,Opo-opo Crown
138/119,Magnifying Specs.
138/120,Protective Specs.
138/121,Chef's Hat
138/122,Shaded Specs.
145/35,Garish Crown
145/36,Seer's Crown
145/37,Hydra Beret
145/38,Noct Beret 
146/23,Hydra Tiara
146/24,Shade Tiara
146/25,Bison Warbonnet
146/26,Sha'ir Turban
146/65,Barone Zucchetto
146/104,Igqira Tiara
148/38,Eisenschaller
149/68,Lord's Armet
149/114,Dream Hat
150/90,Hachiman Jinpachi
151/67,Wise Cap
152/80,Orc Helm
152/81,Yagudo Headgear
152/57,Goblin Coif
152/82,Quadav Barbut
153/38,Unicorn Cap
153/75,Trader's Chapeau
154/88,Alumine Salade
155/14,Black Sallet
155/79,Maat's Cap
155/80,Mandragora Beret
155/81,Guide Beret
156/93,Stars Cap
156/109,Laurel Crown
157/116,Nashira Turban
158/58,Homam Zucchetto
158/111,Trader's Chapeau (Black)
159/18,Crow Beret
154/30,Hydra Moufles
160/86,Hydra Cap
164/6,Sipahi Turban
163/80,Jaridah Khud
166/72,Amir Puggaree
166/73,Pahluwan Qalansuwa
166/74,Yigit Turban
170/122,Witch Hat
174/116,Ares's Mask
174/117,Skadi's Visor
176/31,Usukane Somen
176/32,Marduk's Tiara
176/33,Morrigan's Coronal
182/36,Egg Helm
183/39,Goliard Chapeau
182/35,Denali Bonnet
183/38,Askar Zucchetto
185/115,Shadow Helm
186/25,Shadow Hat
186/24,Valhalla Helm
186/125,Glory Crown
186/126,Moogle Cap
186/127,Nomad Cap
187/64,Dandy Specs.
188/8,Mamool Ja Helm
188/9,Lamia Garland
188/10,Troll Coif
188/11,Qiqirn Hood
199/69,Cobra Unit Cap
