37/52,None
37/53,Leather Bandana
37/54,Sallet
37/55,Shinobi Hachigane
37/56,Iron Mask
37/57,Lizard Helm
37/58,Raptor Helm
37/59,Zunari Kabuto
37/60,Royal Squire's Helm
37/61,Royal Knight's Bascinet
37/62,Padded Cap
37/63,Bronze Cap
37/64,Bone Mask
37/65,Hachimaki
37/66,Wool Hat
37/67,Tactician Magician's Hat
37/68,Circlet
37/69,Headgear
37/70,Darksteel Armet
37/71,Red Cap
37/72,Green Beret
37/73,Iron Musketeer's Armet
37/74,Centurion's Visor
37/75,Gavial Mask
37/76,Faceguard
37/77,Mythril Sallet
37/78,Blue Ribbon
37/79,Purple Ribbon
37/80,Green Ribbon
37/81,Black Ribbon
37/82,Scarlet Ribbon
93/71,Fighter's Mask (WAR Artifact)
93/72,Temple Crown (MNK Artifact)
93/73,Healer's Cap (WHM Artifact)
93/74,Wizard's Petasos (BLM Artifact)
93/75,Warlock's Chapeau (RDM Artifact)
93/76,Rogue's Bonnet (THF Artifact)
96/9,Gallant Coronet (PLD Artifact)
96/10,Chaos Burgeonet (DRK Artifact)
96/11,Beast Helm (BST Artifact)
96/12,Choral Roundlet (BRD Artifact)
96/13,Hunter's Beret (RNG Artifact)
98/89,Myochin Kabuto (SAM Artifact)
98/90,Ninja Hatsuburi (NIN Artifact)
98/91,Drachen Armet (DRG Artifact)
98/92,Evoker's Horn (SMN Artifact)
163/17,Magus Keffiyeh (BLU Artifact)
160/108,Corsair's Tricorne (COR/Artifact)
163/18,Puppetry Taj (PUP Artifact)
198/50,Dancer's Tiara (DNC Artifact)
198/51,Scholar's Mortarboard (SCH Artifact)
120/55,Coeurl Mask
120/56,Adaman Barbuta
120/57,Coral Cap
120/58,Noble's Crown
120/59,Celata
120/60,Arhat's Jinpachi
120/61,Dragon Mask
124/39,Rasetsu Jinpachi
124/40,Crimson Mask
124/41,Adaman Celata
124/42,Ogre Mask
124/43,Koenig Schaller
125/46,War Beret
126/37,Pumpkin Head
126/38,Roshi Jinpachi
126/39,Genbu's Kabuto
126/40,Hecatomb Cap
126/41,Errant Hat
129/31,Tiger Mask
129/32,Wyvern Helm
129/33,Demon Helm
129/34,Shura Zunari Kabuto
129/35,Zenith Crown
129/36,Carapace Helm
129/37,Dusk Mask
129/38,Dragon Cap
132/55,Warrior's Mask (WAR Relic)
132/56,Melee Crown (MNK Relic)
132/57,Cleric's Cap (WHM Relic)
132/58,Sorcerer's Petasos (BLM Relic)
132/59,Duelist's Chapeau (RDM Relic)
132/60,Assassin's Bonnet (THF Relic)
132/61,Valor Coronet (PLD Relic)
132/62,Abyss Burgeonet (DRK Relic)
132/63,Monster Helm (BST Relic)
132/64,Bard's Roundlet (BRD Relic)
132/65,Scout's Beret (RNG Relic)
132/66,Saotome Kabuto (SAM Relic)
132/67,Koga Hatsuburi (NIN Relic)
132/68,Wyrm Armet (DRG Relic)
132/69,Summoner's Horn (SMN Relic)
214/84,Mirage Keffiyeh (BLU Relic)
214/85,Commodore Tricorne (COR Relic)
214/86,Pantin Taj (PUP Relic)
217/120,Etoile Tiara (DNC Relic)
217/79,Argute M.board (SCH Relic)
132/70,Scorpion Helm
132/71,Austere Hat
137/48,Panther Mask
137/49,Opo-opo Crown
137/50,Magnifying Specs.
137/51,Protective Specs.
137/52,Chef's Hat
137/53,Shaded Specs.
144/19,Garish Crown
144/20,Seer's Crown
144/21,Hydra Beret
144/22,Noct Beret 
145/103,Hydra Tiara
145/104,Shade Tiara
145/105,Bison Warbonnet
145/106,Sha'ir Turban
146/45,Barone Zucchetto
146/84,Igqira Tiara
148/18,Eisenschaller
149/20,Lord's Armet
149/110,Dream Hat
150/42,Hachiman Jinpachi
151/47,Wise Cap
152/68,Orc Helm
152/69,Yagudo Headgear
152/53,Goblin Coif
152/70,Quadav Barbut
153/18,Unicorn Cap
153/55,Trader's Chapeau
154/61,Alumine Salade
154/122,Black Sallet
155/67,Maat's Cap
155/68,Mandragora Beret
155/69,Guide Beret
156/89,Stars Cap
156/105,Laurel Crown
157/87,Nashira Turban
158/26,Homam Zucchetto
158/91,Trader's Chapeau (Black)
158/126,Crow Beret
153/108,Hydra Moufles
160/66,Hydra Cap
163/19,Sipahi Turban
162/56,Jaridah Khud
165/97,Aht Urghan Armor
166/8,Amir Puggaree
166/9,Pahluwan Qalansuwa
166/10,Yigit Turban
170/106,Witch Hat
174/76,Ares's Mask
174/77,Skadi's Visor
175/99,Usukane Somen
175/100,Marduk's Tiara
175/101,Morrigan's Coronal
182/12,Egg Helm
182/95,Goliard Chapeau
182/11,Denali Bonnet
182/94,Askar Zucchetto
185/95,Shadow Helm
186/1,Shadow Hat
186/0,Valhalla Helm
186/113,Glory Crown
186/114,Moogle Cap
186/115,Nomad Cap
187/60,Dandy Specs.
