3/2,Orc
3/3-5,Galka
3/6,Hume Male
3/11,Hume Female
3/16,Elvaan Male
3/21,Elvaan Female
3/25,Home Point
3/29,Telepoint
3/30,Elevator
3/34,Lion
3/35,Eald'narche
3/36,Kam'lanaut
3/37,Cid
3/38,Prince Trion
3/39,Prince Pieuje
3/40,Princess Claidie
3/41,King Destin
3/42,Shamonde
3/43,Curilla
3/44,Cornelia
3/45,President Karst
3/46,Gumbah
3/47,Dark Messenger
3/48,Ajido-Marujido (Book)
3/49,Star Sibyl
3/50,Perih Vashai
3/51,Cardian
3/52,Aldo
3/53,Verena
3/55,Volker
3/56,Moogle
3/57,Zilart
3/59,Goblin
3/60-63,Chocobo
3/64-67,Hume Grandpa
3/68-71,Hume Grandma
3/72-75,Hume Uncle
3/76-79,Hume Aunt
3/80-82,Hume Lady
3/83,Tarutaru Male
3/84-87,Hume Male
3/88,Hume Boy
3/92,Hume Girl
3/93,Kaede
3/96,Elvaan Male
3/100,Maat
3/101,Hume Female
3/102,Pawkrix
3/103,Chocobo
3/104,Elvaan Friar
3/105,Elvaan Friar (Book)
3/106,Elvaan Friar (Lightbringer)
3/108-109,Elvaan Friar
3/112-115,Elvaan Grandpa
3/116-118,Elvaan Grandma
3/120-122,Galka
3/123,Ajido-Marujido
3/124,Hume Male
3/125,Angelica
3/126,Hume Male
3/127,Hume Grandpa
4/0-1,Elvaan Boy
4/4,Elvaan Girl
4/8,Tosuka-Porika
4/9,Zonpa-Zippa
4/10,Apururu
4/11,Rukususu
4/12-14,Tarutaru Boy
4/15,Tarutaru Boy (Mana Orb)
4/16-18,Tarutaru Girl
4/19,Tarutaru Girl (Mana Orb)
4/20,Galka
4/24-27,Galka Child
4/28-29,Mithra Child
4/35-36;40,Tarutaru Male
4/45,Mithra
4/46,Jacodaut (Culinarians' Guild)
4/47,Amarefice (Capenter's Guild)
4/48,Orechiniel (Tanner's Guild)
4/49,Greubaque (Blacksmith's Guild)
4/50,Ramua (Capenter's Guild)
4/51,Nalta (Troupe Valeriano)
4/52,Elvaan Female
4/53,Ulycille (Capenter's Guild)
4/54,Terude-Harude (Weavers' Guild)
4/55,Pinok-Morok (Blacksmith's Guild)
4/56,Kipo-Opo (Culinarians' Guild)
4/57,Erabu-Fumulubu (Fishing guild)
4/58,Nikkoko (Weavers' Guild)
4/59,Ronana (Boneworker's Guild)
4/60,Wise Owl (Blacksmith's Guild)
4/61,Degong (Fishing guild)
4/62,Dehjal (Troupe Valeriano)
4/63,Tek Lengyon (Tanner's Guild)
4/64,Lih Pituu (Boneworker's Guild)
4/65,Kyaa Taali (Boneworker's Guild)
4/66,Cheh Raihah (Troupe Valeriano)
4/67,Mhe Quryobhi (Fishing guild)
4/68,Hugues (Blacksmith's Guild)
4/69,Sahn (Boat Captain)
4/70,Wulfnoth (Goldsmith's Guild)
4/71,Hakeem (Culinarians' Guild)
4/72,Titus (Alchemists' Guild)
4/73,Ulrike (Goldsmith's Guild)
4/74,Anillah (Weavers' Guild)
4/75,Sieglinde (Alchemists' Guild)
4/77,Azima (Alchemists' Guild)
4/78,Panja-Nanja (Fishing guild)
4/79-80,Mithra
4/83,Galka
4/88,Hume Male (Boat Captain)
4/89,Tarutaru Female
4/90,Tarutaru Male
4/91,Kerutoto (Rhinostery)
4/92,Hariga-Origa (Optistery)
4/93,Sohdede (Optistery)
4/94,Mithra
4/95,Semih Lafihna (Book)
4/96,Nanaa Mihgo
4/97,Mithra
4/98-99,Cardian
4/100-101,Hume Uncle
4/102-103,Bat
4/104-105,Bats
4/106-107,Ahriman
4/108-110,Rabbit
4/111-112,Bee
4/113-114,Leech
4/115-116,Bomb
4/117-120,Scorpion
4/121-122,Cockatrice
4/123,Slime
4/124,Blobdingnag
4/125-126,Goobbue
4/127-5/0,Mandragora
5/1-2,Doll
