33/92,None
157/44,Invisible
33/100,Hume F Boots
33/122,Judge's Greaves (GM)
126/24,Fisherman's Boots
126/25,Chocobo Boots
126/26,Vagabond's Boots
129/26,Field Boots
137/20,Waders
196/117,Dream Boots
217/78,Noble Poulaines
240/77,Spritewarden's Sabatons (Crazy Glow Effect)
290/70,Morass Boots
310/69,Thatch Boots
327/100,Pupil's Shoes
307/46,Alliance Boots
336/4,Starlet Boots
369/86,Ziamet Nails
379/33,Sapphire Leggings
379/34,Jadeite Jambeaux
380/64,Diamond Sune-Ate
380/65,Emerald Crackows
379/35,Ruby Pigaches
381/62,Arrogance Sabatons

33/107,Bronze Leggings
33/112,Ash Clogs
33/93,Leather HighBoots
33/94,Plate Leggings
33/95,Solea
33/96,Shinobi Kyahan
33/97,Greaves
33/98,Lizard Ledelsens
33/99,Raptor Ledelsens
33/101,Sune-Ate
33/102,Shoes
33/103,Moccasins
33/104,Royal Squire's Sollerets
33/105,Royal Knight's Sollerets
33/106,Leggings
33/108,Bone Leggings
33/109,Kyahan
33/110,Chestnut Sabots
33/111,Tactician Magician's Pigaches
33/113,Gaiters
33/114,Dst. Sabatons
33/115,Socks
33/116,Battle Boots
33/117,Iron Musketeer's Sabatons
33/118,Centurion's Greaves
33/119,Gavial Greaves
33/120,Scale Greaves
33/121,Mythril Leggings
33/123,Custom F Boots
93/64,Fighter's Calligae (WAR Artifact)
93/65,Temple Hose (MNK Artifact)
93/66,Healer's Duckbills (WHM Artifact)
93/67,Wizard's Sabots (BLM Artifact)
93/68,Warlock's Boots (RDM Artifact)
93/69,Rogue's Poulaines (THF Artifact)
96/4,Gallant Leggings (PLD Artifact)
96/5,Chaos Sollerets (DRK Artifact)
96/6,Beast Gaiters (BST Artifact)
96/7,Choral Slippers (BRD Artifact)
96/8,Hunter's Socks (RNG Artifact)
98/74,Myochin Sune-Ate (SAM Artifact)
98/75,Ninja Kyahan (NIN Artifact)
98/76,Drachen Greaves (DRG Artifact)
98/77,Evoker's Pigaches (SMN Artifact)
162/55,Magus Charuqs (BLU Artifact)
160/100,Corsair's Bottes (COR Artifact)
163/13,Puppetry Babouches (PUP Artifact)
189/37,Dancer's Shoes (DNC Artifact)
189/38,Scholar's Loafers (SCH Artifact)
119/8,Tiger Ledelsens
119/9,Iron Greaves
120/41,Steel Greaves
120/42,Coeurl Ledelsens
120/43,Adaman Sabatons
120/44,Coral Leggings
120/45,Noble's Pumps
120/46,Thick Sollerets
120/47,Arhat's Sune-Ate
120/48,Dragon Greaves
124/34,Rasetsu Sune-Ate
124/35,Crimson Greaves
124/36,Adaman Sollerets
124/37,Ogre Ledelsens
124/38,Koenig Schuhs
125/45,War Boots
126/20,Yasha Sune-Ate
126/21,Suzaku's Sune-Ate
126/22,Hecatomb Leggings
126/23,Errant Pigaches
129/27,Shura Sune-Ate
129/28,Zenith Pumps
129/29,Dusk Ledelsens
129/30,Dragon Leggings
132/38,Warrior's Calligae (WAR Relic)
132/39,Melee Gaiters (MNK Relic)
132/40,Cleric's Duckbills (WHM Relic)
132/41,Sorcerer's Sabots (BLM Relic)
132/42,Duelist's Boots (RDM Relic)
132/43,Assassin's Poulaines (THF Relic)
132/44,Valor Leggings (PLD Relic)
132/45,Abyss Sollerets (DRK Relic)
132/46,Monster Gaiters (BST Relic)
132/47,Bard's Slippers (BRD Relic)
132/48,Scout's Socks (RNG Relic)
132/49,Saotome Sune-Ate (SAM Relic)
132/50,Koga Kyahan (NIN Relic)
132/51,Wyrm Greaves (DRG Relic)
132/52,Summoner's Pigaches (SMN Relic)
214/81,Mirage Charuqs (BLU Relic)
214/82,Commodore Bottes (COR Relic)
214/83,Pantin Babouches (PUP Relic)
217/119,Etoile Shoes (DNC Relic)
217/77,Argute Loafers (SCH Relic)
132/53,Austere Sabots
132/54,Opaline Boots
144/5,Hydra Spats
144/6,Shade Leggings
144/7,Garish Pumps
144/8,Seer's Pumps
144/9,Hydra Gaiters
144/10,Noct Gaiters
145/101,Bison Gamashes
145/102,Sha'ir Crackows
146/44,Barone Gambieras
146/83,Igqira Huaraches
148/17,Eisenschuhs
149/11,Lord's Sabatons
150/37,Hachiman Sune-Ate
150/38,Blessed Pumps
151/46,Wise Pigaches
153/17,Unicorn Leggings
153/54,Trader's Pigaches
154/59,Alumine Solerets
154/121,Black Sollerets
157/85,Nashira Crackows
158/22,Homam Gambieras
158/90,Trader's Pigaches (Black)
158/125,Crow Gaiters
153/101,Hydra Sollerets
160/65,Hydra Boots
163/14,Sipahi Boots
163/15,Jaridah Nails
166/4,Amir Boots
166/5,Pahluwan Crackows
166/6,Yigit Crackows
174/74,Ares's Sollerets
174/75,Skadi's Jambeaux
175/96,Usukane Sune-Ate
175/97,Marduk's Crackows
175/98,Morrigan's Pigaches
182/93,Goliard Clogs
182/10,Denali Gamashes
182/92,Askar Gambieras
185/94,Shadow Sabatons
185/127,Shadow Clogs
199/52,Cobra Unit Leggings
200/83,Cobra Unit Crackows
201/26,Iron Ram Greaves
198/113,Fourth Division Schuhs
196/118,Bastokan Campaign Armor (Unobtainable)
195/83,Karasutengu Kogake
207/34,Hachiryu Sune-Ate
219/64,Gothic Sabatons
235/111,Ebon Sabatons
235/112,Furia Sabatons
235/113,Ebur Sabatons
235/114,Ebon Greaves
235/115,Furia Greaves
235/116,Ebur Greaves
